출처,직군,검색어,공고 이름,회사 이름,회사 위치,마감일,링크,점수,워치리스트
LinkedIn,AI,AI,주니어 데이터 사이언티스트,Retentics,역삼동,,https://kr.linkedin.com/jobs/view/%EC%A3%BC%EB%8B%88%EC%96%B4-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-at-retentics-4448948799,20,FALSE
LinkedIn,AI,AI,Machine Learning Engineer (AdTech/MarTech),MUSINSA 무신사,서울,,https://kr.linkedin.com/jobs/view/machine-learning-engineer-adtech-martech-at-musinsa-%EB%AC%B4%EC%8B%A0%EC%82%AC-4426794001,20,FALSE
LinkedIn,AI,AI,Data Engineer (AI),토스증권 (Toss Securities),서울,,https://kr.linkedin.com/jobs/view/data-engineer-ai-at-toss-securities-4446728992,20,FALSE
LinkedIn,AI,인공지능,AI Operations Engineer,렌트리,공덕동,,https://kr.linkedin.com/jobs/view/ai-operations-engineer-at-%EB%A0%8C%ED%8A%B8%EB%A6%AC-4446082281,20,FALSE
LinkedIn,AI,인공지능,Staff Machine Learning Engineer (Ads Relevance),Coupang,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/staff-machine-learning-engineer-ads-relevance-at-coupang-4410475276,20,FALSE
LinkedIn,AI,머신러닝,Machine Learning Engineer (머신러닝 엔지니어),Moloco,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/machine-learning-engineer-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-at-moloco-3979783164,25,FALSE
LinkedIn,AI,머신러닝,Machine Learning Engineer,Sendbird,서울,,https://kr.linkedin.com/jobs/view/machine-learning-engineer-at-sendbird-4336801684,20,FALSE
LinkedIn,AI,머신러닝,Machine Learning Engineer (Agentic AI),FuriosaAI,서울,,https://kr.linkedin.com/jobs/view/machine-learning-engineer-agentic-ai-at-furiosaai-4416655146,20,FALSE
LinkedIn,AI,ML,Python(Machine leaning) QA Lead - Remote,YO IT Consulting,대한민국,,https://kr.linkedin.com/jobs/view/python-machine-leaning-qa-lead-remote-at-yo-it-consulting-4428787469,25,FALSE
LinkedIn,AI,ML,AI Research Engineer,FuriosaAI,서울,,https://kr.linkedin.com/jobs/view/ai-research-engineer-at-furiosaai-4318532134,20,FALSE
LinkedIn,AI,ML,Machine Learning Engineer-Technical Research Personnel (머신러닝 엔지니어-전문연구요원),Moloco,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/machine-learning-engineer-technical-research-personnel-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%A0%84%EB%AC%B8%EC%97%B0%EA%B5%AC%EC%9A%94%EC%9B%90-at-moloco-4053644706,25,FALSE
LinkedIn,AI,ML,금융 데이터 분석가(Financial Data Analyst),넥스트증권,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/%EA%B8%88%EC%9C%B5-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80-financial-data-analyst-at-next-securities-4445923593,25,FALSE
LinkedIn,AI,ML,Business Development Representative,Anthropic,서울,,https://kr.linkedin.com/jobs/view/business-development-representative-at-anthropic-4400752526,20,FALSE
LinkedIn,AI,ML,"Member of Technical Staff, Machine Learning",BJAK,서울,,https://kr.linkedin.com/jobs/view/member-of-technical-staff-machine-learning-at-bjak-4422412358,20,FALSE
LinkedIn,AI,ML,AI Engineer (Model),Toss,서울,,https://kr.linkedin.com/jobs/view/ai-engineer-model-at-toss-4429348233,20,FALSE
LinkedIn,AI,데이터사이언스,Applied AI / ML Engineer ($150K–$300K + Equity) at a frontier open-source AI lab,Harper,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/applied-ai-ml-engineer-%24150k%E2%80%93%24300k-%2B-equity-at-a-frontier-open-source-ai-lab-at-harper-4435039660,20,FALSE
LinkedIn,AI,LLM,Language Specialist (영어),CJ OLIVE YOUNG,서울,,https://kr.linkedin.com/jobs/view/language-specialist-%EC%98%81%EC%96%B4-at-cj-olive-young-4432561036,20,FALSE
LinkedIn,AI오케스트레이션,MLOps,데이터엔지니어링(딜리버리 MLOps),(주)우아한형제들 (Woowa Bros.),서울,,https://kr.linkedin.com/jobs/view/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81-%EB%94%9C%EB%A6%AC%EB%B2%84%EB%A6%AC-mlops-at-%EC%A3%BC-%EC%9A%B0%EC%95%84%ED%95%9C%ED%98%95%EC%A0%9C%EB%93%A4-woowa-bros-4424536075,10,FALSE
LinkedIn,AI오케스트레이션,LangChain,AI Engineer,넥스트증권,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/ai-engineer-at-next-securities-4445916652,10,FALSE
