검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
Analyst,Senior~Staff Data Analyst (Coupang Ea...,쿠팡,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=321087&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,애널리스트
리서치센터,[아토리서치]데이터센터 전력&냉방기계 설비 경력자 채용,아토리서치(주),서울 서초구,회사내규에 따름,경력3년 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53934992&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,애널리스트
리서치센터,[아토리서치]데이터센터 기획&구축 경력자 채용,아토리서치(주),서울 서초구,회사내규에 따름,경력7년 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53935090&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,사업 운영 인턴(크레딧 · B2B 플랫폼),패스트파이브,서울 강남구,회사내규에 따름,경력무관 학력무관,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560649&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,크레딧마켓부 신입(인턴)직원 채용,부국증권,서울 영등포구,회사내규에 따름,경력무관 대졸(2~3년),,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560313&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,백엔드 개발자 (크레딧·정산),패스트파이브,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=363764&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,[가산] [구로] 데이터크레딧 경력 UI/UX 디자이너 채용,데이터크레딧,서울 금천구,회사내규에 따름,경력무관 대졸(4년),주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54254674&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,[가산] [구로] 데이터크레딧 경력 개발자 채용,데이터크레딧,서울 금천구,회사내규에 따름,경력무관 대졸(4년),주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54254709&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,크레딧 사업 PO (Product Owner),패스트파이브,지역무관,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366920&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,애널리스트
크레딧,B2B 세일즈 담당자 (크레딧 멤버십),패스트파이브,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=361093&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,애널리스트
증권,[장애인만 채용] SK증권 주식회사 대전지점 환경미화직 채용 (1명...,에스케이증권주식회사,대전광역시 서구 대덕대로,월급 97 만원 ~ 97 만원,경력무관 학력무관,주5일 주 17시간 근로,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=Dd03902607100004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,[외국계기업/강남구] Security Officer 채용 (격주 주...,시큐리타스코리아㈜,서울 강남구,"연봉 2,800 만원 ~ 2,800 만원",경력무관 고졸,기타,,2026-08-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51231199&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[최대320만/휴게시간2시간] 유명 증권사 어플 이용문의 / 평균3...,고려휴먼스㈜,서울 중구 등,월급 252 만원 ~ 320 만원,경력무관 학력무관,주5일,,2026-07-23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51233685&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[대규모채용] 증권사 고객센터 대표번호 인바운드/CS 상담사 채용 ...,주식회사 엠피씨플러스,서울 중구 등,월급 250 만원 ~ 250 만원,경력무관 학력무관,주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51236362&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[정규] 증권사 고객센터 인바운드/CS 상담사 채용 K1,주식회사 엠피씨플러스,서울 중구 등,월급 250 만원 ~ 250 만원,경력무관 학력무관,주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51236380&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,삼성증권 조사분석 지원 단기계약직 채용,삼성증권,서울 서초구,회사내규에 따름,신입/경력 학력무관,,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51219087&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/강남구] Security Officer 채용 (주야비비...,시큐리타스코리아㈜,서울 강남구,"연봉 3,100 만원 ~ 3,100 만원",경력무관 고졸,기타,,2026-08-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51227703&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[포인투테크놀로지] IT Infrastructure & Security...,(주)포인투테크놀로지,서울 강남구,회사내규에 따름,경력무관 학력무관,,,2026-08-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54421048&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,"미래에셋증권 인바운드 상담 (미래에셋 증권 신규 계좌 개설, 공인인...",효성 I T X（주）,전남광주통합특별시 동구 금남로,월급 231 만원 ~ 241 만원,경력무관 고졸 ~ 대졸(4년),주5일 주 40시간 근로 09:00 ~ 18:00,,2026-09-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJEA002607080002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,[차고지: 둔촌역 인근 / 마포역 인근] 증권사 본사 임원 수행기사...,㈜예스콘씨에스,서울 영등포구 등,월급 299 만원 ~ 299 만원,경력8년 고졸,주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51217609&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,Security Engineer(전문연구요원 보충역) 모집,,,회사내규에 따름,,,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2000001433892&infoTypeCd=MMA&infoTypeGroup=tb_workinfomma,증권
증권,[정직원] 수출입화물보험(적하보험) 운영지원 및 증권 담당,유앤아이컴퍼니 보험대리점,서울 종로구,"연봉 3,000 만원 ~ 3,000 만원",경력무관 학력무관,주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54410262&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[정직원] 수출입화물보험(적하보험) 운영지원 및 증권 담당,(주)노피곰,서울 종로구,"연봉 3,000 만원 ~ 3,000 만원",경력무관 고졸,주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54410309&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,FY2026 한국투자증권 마케팅부 디자이너 전문직급 공개채용,한국투자증권㈜,서울 영등포구,회사내규에 따름,경력 대졸(2~3년),,,2026-07-21,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51186062&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[신입/경력] 선박 엔진·Cyber Security 기술지원 엔지니...,우남토탈,부산 강서구,회사내규에 따름,경력무관 대졸(2~3년),,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54391590&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[티빙] 정보보호 담당자(IT Security Compliance ...,티빙,서울 마포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560471&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,[티빙] 프로덕트 보안(Product Security),티빙,서울 마포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560455&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,[티빙] 엔터프라이즈 보안(Enterprise Security),티빙,서울 마포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560453&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,[여의도] 증권사 본사 야간 보안원 모집,㈜고암,서울 영등포구,월급 300 만원 ~ 305 만원,경력무관 고졸,주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51197128&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/용인 처인구] Security Officer (주주야야...,시큐리타스코리아㈜,서울 강남구,"연봉 3,200 만원 ~ 3,200 만원",경력무관 고졸,기타,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51198866&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[여의도] 한국증권금융 홍보실 웹디자이너 모집,주식회사 사람과기술,서울 영등포구 등,"연봉 3,600 만원 ~ 3,800 만원",경력1년 학력무관,주5일,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51199304&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/강남구] Security Officer 채용 (주주야야...,시큐리타스코리아㈜,서울 강남구,"연봉 3,700 만원 ~ 3,700 만원",경력무관 고졸,기타,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51200237&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,증권사 OA유지보수 인력채용(초급자),㈜유니디아,서울 영등포구,회사내규에 따름,경력무관 학력무관,주5일,,2026-09-04,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51201613&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[도곡역/정시퇴근] 대기업 증권사 리셉션 채용 (월240/주5일),서운에이치에스㈜,서울 강남구 등,월급 240 만원 ~ 240 만원,경력무관 고졸,주5일,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51202602&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[국내 대형 증권사] AI Data Strategist 경력직 채...,(주)피플온,서울 강남구,회사내규에 따름,경력8년 대졸(4년),주5일,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607060002749&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[국내 대형 증권사] 주식 스왑(Equity Swap) 세일즈 경력...,(주)피플온,서울,회사내규에 따름,경력6년 대졸(4년),주5일,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607060002853&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[Security] Security Engineering (5년 이...,위대한상상(요기요),지역무관,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=367250&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,Security Solutions Engineer,팀스파르타,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=372272&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[여의도/하나증권빌딩] 기계교대 (주당비) 1명 구인,코오롱글로벌㈜,서울 영등포구,월급 290 만원 ~ 290 만원,경력무관 고졸,기타,,2026-08-02,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51188215&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/부산] Campus Security Manager,시큐리타스코리아㈜,서울 강남구 등,회사내규에 따름,경력5년 학력무관,주5일,,2026-08-02,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51189420&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,(주)로카르비트 Offensive Security 컨설턴트 채용,(주)로카르비트,경기 과천시,회사내규에 따름,경력2년 대졸(2~3년),,,2026-09-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54363289&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[증권박물관] 이전 건립 건설공사 안전관리자 계약직 채용,에이치에스화성(주),서울 은평구,회사내규에 따름,경력4년 대졸(2~3년),,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54346803&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/강남구] Security Officer 채용,시큐리타스코리아㈜,서울 강남구,"연봉 3,600 만원 ~ 3,600 만원",경력무관 고졸,기타,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51182763&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/성동구] Security Officer 채용,시큐리타스코리아㈜,서울 강남구 등,"연봉 3,200 만원 ~ 3,200 만원",경력무관 고졸,기타,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51182984&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[광화문역/정시퇴근] 대기업 증권사 리셉션 채용 (월240/주5일),서운에이치에스㈜,서울 종로구 등,월급 240 만원 ~ 240 만원,경력무관 고졸,주5일,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51184616&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[flex] Security Engineer,플렉스(주),경기 성남시 분당구 등,회사내규에 따름,경력무관 학력무관,주5일,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54353666&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[유진투자증권] 재경팀 경력직원 채용,유진투자증권,서울 영등포구,회사내규에 따름,경력1년 대졸(4년),주5일,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607010002534&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[유진투자증권] 재경팀 업무직원 채용,유진투자증권,서울 영등포구,회사내규에 따름,신입/경력 학력무관,주5일,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607010002542&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[유진투자증권] 재경팀 경력직원 채용,유진그룹,서울 영등포구,회사내규에 따름,경력 학력무관,,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=331673-258570&infoTypeCd=MIT&infoTypeGroup=tb_workinfogubun,증권
증권,[유진투자증권] 재경팀 업무직원 채용,유진그룹,서울 영등포구,회사내규에 따름,신입 학력무관,,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=331673-258590&infoTypeCd=MIT&infoTypeGroup=tb_workinfogubun,증권
증권,유안타증권 가평연수원 시설기사 모집공고,(주)아이비에스인더스트리,경기도 가평군 호반로,월급 290 만원 ~ 290 만원,경력무관 학력무관,주5일 주 40시간 근로,,2026-08-29,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032606300032&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,Cloud Security & Tech Leader,여기어때컴퍼니,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=363433&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[토스증권] Product Operations Specialist ...,비바리퍼블리카,서울 강남구,회사내규에 따름,경력무관 학력무관,,,2026-08-25,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=558353&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,Security Solutions Engineer 인턴,팀스파르타,서울 강남구,회사내규에 따름,경력무관 학력무관,,,2026-08-25,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=558220&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,정보보안 팀장 (Security Lead),고위드,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369768&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[토스증권] Overseas Operations Specialist...,비바리퍼블리카,서울 강남구,회사내규에 따름,경력무관 학력무관,,,2026-08-28,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=558350&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,Information Security Manager,여기어때컴퍼니,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=336842&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,Security Engineer,마키나락스,서울 서초구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=370379&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/마포] Security Officer (주야비비),시큐리타스코리아㈜,서울 강남구 등,"연봉 3,200 만원 ~ 3,200 만원",경력무관 고졸,기타,,2026-07-24,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51130519&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,경력기자(금융증권) 모집,(주)엔에스피뉴스통신사,서울 영등포구,회사내규에 따름,경력5년 대졸(4년),주5일,,2026-07-23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54254495&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[여의도/신입가능/3교대] 한국투자증권 본점 보안대원 채용,㈜발렉스서비스,서울 영등포구 등,월급 291 만원 ~ 320 만원,경력무관 학력무관,기타,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51115835&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,(병역특례) 증권 AI Agent 엔지니어,(주)씽크풀,서울 영등포구,회사내규에 따름,경력무관 석사,주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54223890&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계 증권사] Settlement Officer,(주)피너클써치,서울,회사내규에 따름,경력8년 대졸(4년),주5일,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606190000905&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[대기업 증권사] PE 투자 운용역/시니어 채용,(주)피너클써치,서울,회사내규에 따름,경력10년 대졸(4년),주5일,,2026-07-18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606180002114&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/영등포구] Security Officer (주야비비),시큐리타스코리아㈜,서울 강남구,"연봉 3,000 만원 ~ 3,000 만원",경력무관 고졸,기타,,2026-07-18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51100657&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,Network Security Engineer (SASE&CASB),무신사,서울 성동구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366283&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[Security] Web & Application Security...,위대한상상(요기요),지역무관,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368845&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,Security Engineer (엔드포인트 보안),무신사,서울 성동구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368894&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[반포역/정시퇴근] 대기업 증권사 리셉션 채용 (월240/주5일),서운에이치에스㈜,서울 서초구 등,월급 240 만원 ~ 240 만원,경력무관 고졸,주5일,,2026-07-16,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51084909&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[통합보안] Information Security Inspectio...,현대자동차,서울 서초구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560376&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,[통합보안] Service Security Engineer - 애플...,현대자동차,서울 서초구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560378&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,IT & Cloud Security Professional 채용,에이아이에이생명보험,서울 중구,회사내규에 따름,경력무관 학력무관,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=559939&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,증권
증권,현대차증권(여의도) 시설관리 총괄실장 모집공고,(주)아이비에스인더스트리,서울특별시 영등포구 국제금융로2길,월급 400 만원 이상,경력5년 학력무관,주5일 주 40시간 근로 08:30 ~ 17:30,,2026-08-10,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032606110010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,Information Security Manager,에이비일팔공(AB180),서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=352495&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,미래에셋증권 주안 건물관리원 모집공고,(주)아이비에스인더스트리,인천광역시 미추홀구 경인로,월급 228 만원 ~ 228 만원,경력무관 학력무관,주5일 주 40시간 근로,,2026-08-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032606100034&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,Frontend Engineer (React/Security),딥노이드(Deepnoid),서울 구로구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366999&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[6/18(목) 안양시 일자리박람회 참여업체] KT텔레캅 SG(Security...,케이티텔레캅주식회사,경기도 안양시 동안구,"연봉 4,400 만원 ~ 4,400 만원 상여별도 200%",경력무관 고졸 ~ 대졸(4년),주5일 주 40시간 근로,,2026-08-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606090009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
증권,Staff Security Engineer (Penetration ...,쿠팡,서울 광진구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366782&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계기업/시큐리타스코리아] Regional Security Ma...,시큐리타스코리아㈜,서울 강남구,회사내규에 따름,경력5년 대졸(2~3년),주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51028433&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[DEEPNOID] Sales Manager (Security),㈜딥노이드,서울 구로구,회사내규에 따름,경력3년 대졸(4년),주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51035106&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[DEEPNOID] 과제책임자 (Security),(주)딥노이드,서울 구로구,회사내규에 따름,경력10년 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54113000&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,[여의도/교대근무] 한국투자증권 본점 보안대원 채용,㈜발렉스서비스,서울 영등포구 등,월급 291 만원 ~ 320 만원,경력무관 학력무관,기타,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51020057&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[외국계/시큐리타스코리아] Site Security Manager ...,시큐리타스코리아㈜,서울 강남구,회사내규에 따름,경력6년 대졸(2~3년),기타,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51008738&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,증권
증권,[Ericsson] Product & Information Security...,(주)에릭슨코리아파트너스,서울 금천구,회사내규에 따름,경력10년 대졸(4년),주5일,,2026-08-03,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54077788&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,증권
증권,증권·펀드 제품 기획(PM),쿼타랩(쿼타북),서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=344909&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,Security Engineer,라이너(Liner),서울 마포구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=342682&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,증권
증권,[장애인만 채용] 신한투자증권 대구금융센터 미화직 채용,신한투자증권(주）,대구광역시 수성구 동대구로,월급 110 만원 ~ 110 만원,경력무관 학력무관,주5일 주 20시간 근로,,2026-07-21,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120422605220058&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,증권
