검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
M&A,투자업무(펀딩 등) 및 M&A담당(7~12년),오가노이드사이언스,경기 성남시,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=361129&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,IBD
ECM,(부울경) 배전반설계/자동제어설계/ECMS/PLC/SCADA/DCS...,(주)인터전기,경상남도 김해시 대동산단4로,"연봉 4,000 만원 이상",경력3년 학력무관,주5일 주 40시간 근로 08:30 ~ 17:30,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180212607130010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,IBD
기업금융,"투자기획 (반도체 소부장,경력 2년이상) - 금융 및 투자 전문기업...",(주)잡뉴스솔로몬서치,서울 서초구,회사내규에 따름,경력2년 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607090001082&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,IBD
기업금융,한국씨티은행 기업금융 전산 부문 채용,㈜한국씨티은행,인천 남동구,회사내규에 따름,경력5년 대졸(4년),,,2026-07-21,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51212876&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,IBD
기업금융,일반기업금융 경력자를 모집합니다.,(주)블루코너캐피탈,서울 강남구,회사내규에 따름,경력5년 대졸(4년),주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54408285&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
기업금융,[급구] 금융기업 임원 수행기사 채용,동호에이치알㈜,서울 종로구 등,"연봉 5,000 만원 ~ 5,000 만원",경력 학력무관,주5일,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51198927&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,IBD
기업금융,글로벌 컨설팅기업 금융부문 전략컨설팅 (3년-10년 경력) 정규직 ...,프로페셔날핸즈인핸즈코리아(주),서울 강남구,회사내규에 따름,경력3년 대졸(4년),,,2026-07-29,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606290002642&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,IBD
기업금융,[이촌회계법인] 부동산개발 및 기업금융 담당 컨설턴트 모집,이촌회계법인,서울 영등포구,회사내규에 따름,경력1년 대졸(4년),주5일,,2026-07-23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606230002361&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,IBD
기업금융,"Data Engineer (기업/금융 데이터, Platform)",딥서치,서울 영등포구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369367&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,IBD
기업금융,기업금융 투자심사역,현대캐피탈,지역무관,회사내규에 따름,경력 학력무관,,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368387&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,IBD
기업금융,국민은행 기업금융 파트타이머 채용-호평종합금융센터,(주)국민은행 강북영업추진그룹,경기도 남양주시 늘을1로16번길,"시급 13,200 원 이상",경력1년 학력무관,주5일 09:00 ~ 18:00,,2026-08-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120252606160011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,IBD
CPA,공인회계사(CPA) 경력 채용(부산근무),(주)유니코써치,부산,회사내규에 따름,경력1년 대졸(4년),주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607010002496&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,상장 준비 중인 제조회사의 회계/세무 실무 리더를 모집합니다.,(주)아르고스다인,경기 용인시 기흥구 등,회사내규에 따름,경력8년 대졸(4년),,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54438762&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,세무사사무실및회계사사무실 경력자 채용,세무사이해수사무소,대구광역시 중구 명륜로23길,"연봉 3,300 만원 ~ 3,600 만원",경력5년 학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,,2026-09-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140112607100021&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,글로벌 핀테크사 회계팀 담당자 채용,(주)이롬넷,서울 강남구,회사내규에 따름,경력3년 대졸(2~3년),주5일,,2026-09-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54429412&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,(중견 자동차 코스닥 기업) 대기업경력 회계사 재경팀장(경산시),보스턴써치,경북 경산시,회사내규에 따름,경력15년 대졸(4년),주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607100000993&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,회계/CPA
